symbol,name,exchange,currency,date,open,high,low,close,volume,available_at
AAPL,AAPL Inc,NASDAQ,USD,2024-01-02,151.50,153.50,150.50,152.50,5000000,2024-01-02T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-03,150.70,152.70,149.70,151.70,5000000,2024-01-03T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-04,152.20,154.20,151.20,153.20,5000000,2024-01-04T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-05,151.40,153.40,150.40,152.40,5000000,2024-01-05T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-06,152.90,154.90,151.90,153.90,5000000,2024-01-06T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-07,152.10,154.10,151.10,153.10,5000000,2024-01-07T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-08,153.60,155.60,152.60,154.60,5000000,2024-01-08T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-09,152.80,154.80,151.80,153.80,5000000,2024-01-09T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-10,154.30,156.30,153.30,155.30,5000000,2024-01-10T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-11,153.50,155.50,152.50,154.50,5000000,2024-01-11T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-12,155.00,157.00,154.00,156.00,5000000,2024-01-12T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-13,154.20,156.20,153.20,155.20,5000000,2024-01-13T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-14,155.70,157.70,154.70,156.70,5000000,2024-01-14T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-15,154.90,156.90,153.90,155.90,5000000,2024-01-15T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-16,156.40,158.40,155.40,157.40,5000000,2024-01-16T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-17,155.60,157.60,154.60,156.60,5000000,2024-01-17T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-18,157.10,159.10,156.10,158.10,5000000,2024-01-18T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-19,156.30,158.30,155.30,157.30,5000000,2024-01-19T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-20,157.80,159.80,156.80,158.80,5000000,2024-01-20T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-21,157.00,159.00,156.00,158.00,5000000,2024-01-21T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-22,158.50,160.50,157.50,159.50,5000000,2024-01-22T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-23,157.70,159.70,156.70,158.70,5000000,2024-01-23T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-24,159.20,161.20,158.20,160.20,5000000,2024-01-24T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-25,158.40,160.40,157.40,159.40,5000000,2024-01-25T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-26,159.90,161.90,158.90,160.90,5000000,2024-01-26T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-27,159.10,161.10,158.10,160.10,5000000,2024-01-27T21:00:00Z
AAPL,AAPL Inc,NASDAQ,USD,2024-01-28,160.60,162.60,159.60,161.60,5000000,2024-01-28T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-02,301.50,303.50,300.50,302.50,5000000,2024-01-02T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-03,300.70,302.70,299.70,301.70,5000000,2024-01-03T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-04,302.20,304.20,301.20,303.20,5000000,2024-01-04T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-05,301.40,303.40,300.40,302.40,5000000,2024-01-05T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-06,302.90,304.90,301.90,303.90,5000000,2024-01-06T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-07,302.10,304.10,301.10,303.10,5000000,2024-01-07T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-08,303.60,305.60,302.60,304.60,5000000,2024-01-08T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-09,302.80,304.80,301.80,303.80,5000000,2024-01-09T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-10,304.30,306.30,303.30,305.30,5000000,2024-01-10T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-11,303.50,305.50,302.50,304.50,5000000,2024-01-11T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-12,305.00,307.00,304.00,306.00,5000000,2024-01-12T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-13,304.20,306.20,303.20,305.20,5000000,2024-01-13T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-14,305.70,307.70,304.70,306.70,5000000,2024-01-14T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-15,304.90,306.90,303.90,305.90,5000000,2024-01-15T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-16,306.40,308.40,305.40,307.40,5000000,2024-01-16T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-17,305.60,307.60,304.60,306.60,5000000,2024-01-17T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-18,307.10,309.10,306.10,308.10,5000000,2024-01-18T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-19,306.30,308.30,305.30,307.30,5000000,2024-01-19T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-20,307.80,309.80,306.80,308.80,5000000,2024-01-20T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-21,307.00,309.00,306.00,308.00,5000000,2024-01-21T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-22,308.50,310.50,307.50,309.50,5000000,2024-01-22T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-23,307.70,309.70,306.70,308.70,5000000,2024-01-23T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-24,309.20,311.20,308.20,310.20,5000000,2024-01-24T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-25,308.40,310.40,307.40,309.40,5000000,2024-01-25T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-26,309.90,311.90,308.90,310.90,5000000,2024-01-26T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-27,309.10,311.10,308.10,310.10,5000000,2024-01-27T21:00:00Z
MSFT,MSFT Inc,NASDAQ,USD,2024-01-28,310.60,312.60,309.60,311.60,5000000,2024-01-28T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-02,101.50,103.50,100.50,102.50,5000000,2024-01-02T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-03,100.70,102.70,99.70,101.70,5000000,2024-01-03T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-04,102.20,104.20,101.20,103.20,5000000,2024-01-04T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-05,101.40,103.40,100.40,102.40,5000000,2024-01-05T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-06,102.90,104.90,101.90,103.90,5000000,2024-01-06T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-07,102.10,104.10,101.10,103.10,5000000,2024-01-07T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-08,103.60,105.60,102.60,104.60,5000000,2024-01-08T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-09,102.80,104.80,101.80,103.80,5000000,2024-01-09T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-10,104.30,106.30,103.30,105.30,5000000,2024-01-10T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-11,103.50,105.50,102.50,104.50,5000000,2024-01-11T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-12,105.00,107.00,104.00,106.00,5000000,2024-01-12T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-13,104.20,106.20,103.20,105.20,5000000,2024-01-13T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-14,105.70,107.70,104.70,106.70,5000000,2024-01-14T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-15,104.90,106.90,103.90,105.90,5000000,2024-01-15T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-16,106.40,108.40,105.40,107.40,5000000,2024-01-16T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-17,105.60,107.60,104.60,106.60,5000000,2024-01-17T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-18,107.10,109.10,106.10,108.10,5000000,2024-01-18T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-19,106.30,108.30,105.30,107.30,5000000,2024-01-19T21:00:00Z
